id,placed_at,target_date,ticker,intent,count,limit_price_cents,model_source,model_prob_yes,market_mid_prob,edge,pm_order_id,fill_count,fill_avg_price_cents,settlement,realized_pnl_cents,notes
1,2026-08-20 14:47:02.505007+00,2026-08-20,tc-temp-miahigh-2026-08-20-gte93lt94f,ORDER_INTENT_BUY_SHORT,100,52,PM live probe Miami combined 00Z,0.16723004349092285,0.535,-0.3677699565090772,C01Q1SGAMDKA,56.3,47.9360568383659,loss,-2781.8,"{""id"": ""C01Q1SGAMDKA"", ""executions"": [{""id"": ""C01WXEJ20DKM"", ""order"": {""id"": ""C01Q1SGAMDKA"", ""marketSlug"": ""tc-temp-miahigh-2026-08-20-gte93lt94f"", ""side"": ""ORDER_SIDE_SELL"", ""type"": ""ORDER_TYPE_LIMIT"", ""price"": {""value"": ""0.52"", ""currency"": ""USD""}, ""quantity"": 100, ""cumQuantity"": 0, ""leavesQuantity"": 100, ""tif"": ""TIME_IN_FORCE_IMMEDIATE_OR_CANCEL"", ""goodTillTime"": null, ""intent"": ""ORDER_INTENT_BUY_SHORT"", ""marketMetadata"": {""slug"": ""tc-temp-miahigh-2026-08-20-gte93lt94f"", ""icon"": ""https://polymarket-upload.s3.us-east-2.amazonaws.com/us%20weather%20highest%20miami-71d4d602b3.png"", ""title"": ""Highest temperature in Miami on August 20?"", ""outcome"": ""No"", ""eventSlug"": ""temp-miahigh-2026-08-20"", ""subject"": {""id"": 0, ""name"": ""93 to 94"", ""subjectType"": """"}, ""eventId"": ""86191""}, ""state"": ""ORDER_STATE_NEW"", ""commissionNotionalTotalCollected"": {""value"": ""0.0000"", ""currency"": ""USD""}, ""commissionsBasisPoints"": ""0"", ""makerCommissionsBasisPoints"": ""0"", ""avgPx"": {""value"": ""0.0000"", ""currency"": ""USD""}, ""cashOrderQty"": {""value"": ""0.0000"", ""currency"": ""USD""}, ""insertTime"": ""2026-08-20T14:47:03.620212356Z"", ""createTime"": ""2026-08-20T14:47:03.618999029Z"", ""outcomeSide"": ""OUTCOME_SIDE_NO"", ""action"": ""ORDER_ACTION_BUY"", ""manualOrderIndicator"": ""MANUAL_ORDER_INDICATOR_AUTOMATIC"", ""lastTransactTime"": ""2026-08-20T14:47:03.620212356Z""}, ""lastShares"": ""0.0000"", ""lastPx"": {""value"": ""0.0000"", ""currency"": ""USD""}, ""type"": ""EXECUTION_TYPE_NEW"", ""text"": """", ""orderRejectReason"": ""ORD_REJECT_REASON_EXCHANGE_OP"
2,2026-08-21 14:47:02.33985+00,2026-08-21,tc-temp-miahigh-2026-08-21-gte92lt93f,ORDER_INTENT_BUY_SHORT,150,38,PM live probe Miami combined 00Z,0.06898903976534695,0.66,-0.591010960234653,C0P24YEXPDJT,150,38.035999999999994,win,9082.6,"{""id"": ""C0P24YEXPDJT"", ""executions"": [{""id"": ""C0PFXSD1GDKM"", ""order"": {""id"": ""C0P24YEXPDJT"", ""marketSlug"": ""tc-temp-miahigh-2026-08-21-gte92lt93f"", ""side"": ""ORDER_SIDE_SELL"", ""type"": ""ORDER_TYPE_LIMIT"", ""price"": {""value"": ""0.38"", ""currency"": ""USD""}, ""quantity"": 150, ""cumQuantity"": 0, ""leavesQuantity"": 150, ""tif"": ""TIME_IN_FORCE_IMMEDIATE_OR_CANCEL"", ""goodTillTime"": null, ""intent"": ""ORDER_INTENT_BUY_SHORT"", ""marketMetadata"": {""slug"": ""tc-temp-miahigh-2026-08-21-gte92lt93f"", ""icon"": ""https://polymarket-upload.s3.us-east-2.amazonaws.com/us%20weather%20highest%20miami-71d4d602b3.png"", ""title"": ""Highest temperature in Miami on August 21?"", ""outcome"": ""No"", ""eventSlug"": ""temp-miahigh-2026-08-21"", ""subject"": {""id"": 0, ""name"": ""92 to 93"", ""subjectType"": """"}, ""eventId"": ""87243""}, ""state"": ""ORDER_STATE_NEW"", ""commissionNotionalTotalCollected"": {""value"": ""0.0000"", ""currency"": ""USD""}, ""commissionsBasisPoints"": ""0"", ""makerCommissionsBasisPoints"": ""0"", ""avgPx"": {""value"": ""0.0000"", ""currency"": ""USD""}, ""cashOrderQty"": {""value"": ""0.0000"", ""currency"": ""USD""}, ""insertTime"": ""2026-08-21T14:47:03.684671886Z"", ""createTime"": ""2026-08-21T14:47:03.683085113Z"", ""outcomeSide"": ""OUTCOME_SIDE_NO"", ""action"": ""ORDER_ACTION_BUY"", ""manualOrderIndicator"": ""MANUAL_ORDER_INDICATOR_AUTOMATIC"", ""lastTransactTime"": ""2026-08-21T14:47:03.684671886Z""}, ""lastShares"": ""0.0000"", ""lastPx"": {""value"": ""0.0000"", ""currency"": ""USD""}, ""type"": ""EXECUTION_TYPE_NEW"", ""text"": """", ""orderRejectReason"": ""ORD_REJECT_REASON_EXCHANGE_OP"
3,2026-08-22 14:47:02.748634+00,2026-08-22,tc-temp-miahigh-2026-08-22-gte92lt93f,ORDER_INTENT_BUY_SHORT,150,64,PM live probe Miami combined 00Z,0.0578533389449682,0.41,-0.3521466610550318,C1AXWRRMMDK0,0,,,,"{""id"": ""C1AXWRRMMDK0"", ""executions"": [{""id"": ""C1B39Y8Y8DKM"", ""order"": {""id"": ""C1AXWRRMMDK0"", ""marketSlug"": ""tc-temp-miahigh-2026-08-22-gte92lt93f"", ""side"": ""ORDER_SIDE_SELL"", ""type"": ""ORDER_TYPE_LIMIT"", ""price"": {""value"": ""0.64"", ""currency"": ""USD""}, ""quantity"": 150, ""cumQuantity"": 0, ""leavesQuantity"": 150, ""tif"": ""TIME_IN_FORCE_IMMEDIATE_OR_CANCEL"", ""goodTillTime"": null, ""intent"": ""ORDER_INTENT_BUY_SHORT"", ""marketMetadata"": {""slug"": ""tc-temp-miahigh-2026-08-22-gte92lt93f"", ""icon"": ""https://polymarket-upload.s3.us-east-2.amazonaws.com/us%20weather%20highest%20miami-71d4d602b3.png"", ""title"": ""Highest temperature in Miami on August 22?"", ""outcome"": ""No"", ""eventSlug"": ""temp-miahigh-2026-08-22"", ""subject"": {""id"": 0, ""name"": ""92 to 93"", ""subjectType"": """"}, ""eventId"": ""87963""}, ""state"": ""ORDER_STATE_NEW"", ""commissionNotionalTotalCollected"": {""value"": ""0.0000"", ""currency"": ""USD""}, ""commissionsBasisPoints"": ""0"", ""makerCommissionsBasisPoints"": ""0"", ""avgPx"": {""value"": ""0.0000"", ""currency"": ""USD""}, ""cashOrderQty"": {""value"": ""0.0000"", ""currency"": ""USD""}, ""insertTime"": ""2026-08-22T14:47:03.880718352Z"", ""createTime"": ""2026-08-22T14:47:03.878799533Z"", ""outcomeSide"": ""OUTCOME_SIDE_NO"", ""action"": ""ORDER_ACTION_BUY"", ""manualOrderIndicator"": ""MANUAL_ORDER_INDICATOR_AUTOMATIC"", ""lastTransactTime"": ""2026-08-22T14:47:03.880718352Z""}, ""lastShares"": ""0.0000"", ""lastPx"": {""value"": ""0.0000"", ""currency"": ""USD""}, ""type"": ""EXECUTION_TYPE_NEW"", ""text"": """", ""orderRejectReason"": ""ORD_REJECT_REASON_EXCHANGE_OP"
4,2026-08-23 14:47:02.48476+00,2026-08-23,tc-temp-miahigh-2026-08-23-gte92lt93f,ORDER_INTENT_BUY_SHORT,150,42,PM live probe Miami combined 00Z,0.2505305545061219,0.61,-0.3594694454938781,C1ZGRKBCEDKA,0,,,,"{""id"": ""C1ZGRKBCEDKA"", ""executions"": [{""id"": ""C1ZPESYA0DKM"", ""order"": {""id"": ""C1ZGRKBCEDKA"", ""marketSlug"": ""tc-temp-miahigh-2026-08-23-gte92lt93f"", ""side"": ""ORDER_SIDE_SELL"", ""type"": ""ORDER_TYPE_LIMIT"", ""price"": {""value"": ""0.42"", ""currency"": ""USD""}, ""quantity"": 150, ""cumQuantity"": 0, ""leavesQuantity"": 150, ""tif"": ""TIME_IN_FORCE_IMMEDIATE_OR_CANCEL"", ""goodTillTime"": null, ""intent"": ""ORDER_INTENT_BUY_SHORT"", ""marketMetadata"": {""slug"": ""tc-temp-miahigh-2026-08-23-gte92lt93f"", ""icon"": ""https://polymarket-upload.s3.us-east-2.amazonaws.com/us%20weather%20highest%20miami-71d4d602b3.png"", ""title"": ""Highest temperature in Miami on August 23?"", ""outcome"": ""No"", ""eventSlug"": ""temp-miahigh-2026-08-23"", ""subject"": {""id"": 0, ""name"": ""92 to 93"", ""subjectType"": """"}, ""eventId"": ""88613""}, ""state"": ""ORDER_STATE_NEW"", ""commissionNotionalTotalCollected"": {""value"": ""0.0000"", ""currency"": ""USD""}, ""commissionsBasisPoints"": ""0"", ""makerCommissionsBasisPoints"": ""0"", ""avgPx"": {""value"": ""0.0000"", ""currency"": ""USD""}, ""cashOrderQty"": {""value"": ""0.0000"", ""currency"": ""USD""}, ""insertTime"": ""2026-08-23T14:47:03.766810855Z"", ""createTime"": ""2026-08-23T14:47:03.765194376Z"", ""outcomeSide"": ""OUTCOME_SIDE_NO"", ""action"": ""ORDER_ACTION_BUY"", ""manualOrderIndicator"": ""MANUAL_ORDER_INDICATOR_AUTOMATIC"", ""lastTransactTime"": ""2026-08-23T14:47:03.766810855Z""}, ""lastShares"": ""0.0000"", ""lastPx"": {""value"": ""0.0000"", ""currency"": ""USD""}, ""type"": ""EXECUTION_TYPE_NEW"", ""text"": """", ""orderRejectReason"": ""ORD_REJECT_REASON_EXCHANGE_OP"
