id,placed_at,target_date,station_id,fx_contract_id,conid,side,strike,count,limit_price_cents,posted,strategy,model_source,model_prob_yes,market_last_prob,assumed_spread_cents,edge,ibkr_order_id,fill_count,fill_avg_price_cents,settlement,realized_pnl_cents,notes
1,2026-08-23 16:14:03.061207+00,2026-08-23,KMIA,UHMIA_082326_92,915211410,no,92,25,37,t,raw,EMOS combined 00Z Miami (rolling 45d) [FX PROBE],0.2213811962926439,0.59,7.73,-0.36861880370735606,"[{'id': '9b6fa43e-4bb3-4f0a-afeb-d01d13a29953', 'message': ['<h4>Confirm Mandato",0,,,,posted 4c inside the last print; fill/no-fill is the probe's actual result
2,2026-08-23 16:14:04.072179+00,2026-08-23,KMIA,UHMIA_082326_91,915211401,no,91,25,7,t,raw,EMOS combined 00Z Miami (rolling 45d) [FX PROBE],0.6762802889385587,0.89,7.73,-0.21371971106144128,"[{'id': 'dd574399-eb94-4310-b3ad-37c8d08708a7', 'message': ['The following order",0,,,,posted 4c inside the last print; fill/no-fill is the probe's actual result
3,2026-08-23 16:14:04.601391+00,2026-08-23,KMIA,UHMIA_082326_93,915211416,no,93,25,77,t,raw,EMOS combined 00Z Miami (rolling 45d) [FX PROBE],0.023163814398072306,0.19,7.73,-0.1668361856019277,"[{'id': 'b4d5ca95-cd32-44d2-b469-0dc4edaa7a1d', 'message': ['The following order",0,,,,posted 4c inside the last print; fill/no-fill is the probe's actual result
